Instancia,LowerBound,Tempo_Segundos
ABS10_100_6.dat,368197.65,5.32
ABS10_50_6.dat,194844.95,0.58
ABS11_100_6.dat,368197.65,3.08
ABS11_50_6.dat,194844.96,0.46
ABS12_100_6.dat,368197.65,3.31
ABS12_50_6.dat,194845.0,0.41
ABS13_100_6.dat,189746.28,3.52
ABS13_50_6.dat,107114.42,0.54
ABS14_100_6.dat,189746.28,3.28
ABS14_50_6.dat,107114.42,0.53
ABS15_100_6.dat,189746.28,3.19
ABS15_50_6.dat,107114.42,0.75
ABS16_100_6.dat,406342.43,3.12
ABS16_50_6.dat,220662.26,0.42
ABS17_100_6.dat,406342.44,2.84
ABS17_50_6.dat,220662.26,0.48
ABS18_100_6.dat,406342.44,3.05
ABS18_50_6.dat,220662.26,0.49
ABS19_100_6.dat,158298.74,2.41
ABS19_50_6.dat,86143.9,0.44
ABS1_100_6.dat,182620.77,3.76
ABS1_50_6.dat,102569.83,0.52
ABS20_100_6.dat,158298.77,2.55
ABS20_50_6.dat,86143.9,0.48
ABS21_100_6.dat,158298.84,2.82
ABS21_50_6.dat,86143.9,0.46
ABS22_100_6.dat,373756.01,2.66
ABS22_50_6.dat,198173.15,0.39
ABS23_100_6.dat,373756.01,2.62
ABS23_50_6.dat,198173.15,0.4
ABS24_100_6.dat,373756.01,2.46
ABS24_50_6.dat,198173.15,0.44
ABS25_100_6.dat,1.35049339e6,2.93
ABS25_50_6.dat,711435.25,0.41
ABS26_100_6.dat,1.35049339e6,2.82
ABS26_50_6.dat,711435.29,0.4
ABS27_100_6.dat,1.35049339e6,3.05
ABS27_50_6.dat,711435.37,0.45
ABS28_100_6.dat,3.49595038e6,2.76
ABS28_50_6.dat,1.82215792e6,0.52
ABS29_100_6.dat,3.49595045e6,2.42
ABS29_50_6.dat,1.82215792e6,0.34
ABS2_100_6.dat,182620.77,3.65
ABS2_50_6.dat,102569.83,0.49
ABS30_100_6.dat,3.4959506e6,2.34
ABS30_50_6.dat,1.82215792e6,0.35
ABS31_100_6.dat,1.31138522e6,2.18
ABS31_50_6.dat,682954.7,0.33
ABS32_100_6.dat,1.31138539e6,2.49
ABS32_50_6.dat,682954.7,0.35
ABS33_100_6.dat,1.31138553e6,2.12
ABS33_50_6.dat,682954.7,0.35
ABS34_100_6.dat,3.44276709e6,1.46
ABS34_50_6.dat,1.78330935e6,0.45
ABS35_100_6.dat,3.44276709e6,1.56
ABS35_50_6.dat,1.78330935e6,0.26
ABS36_100_6.dat,3.44276709e6,1.47
ABS36_50_6.dat,1.78330935e6,0.26
ABS37_100_6.dat,1.35636793e6,2.87
ABS37_50_6.dat,714871.12,0.43
ABS38_100_6.dat,1.35636793e6,2.78
ABS38_50_6.dat,714871.12,0.38
ABS39_100_6.dat,1.35636793e6,3.12
ABS39_50_6.dat,714871.12,0.41
ABS3_100_6.dat,182620.77,3.56
ABS3_50_6.dat,102569.83,0.51
ABS40_100_6.dat,3.50112226e6,2.61
ABS40_50_6.dat,1.8250983e6,0.37
ABS41_100_6.dat,3.50112231e6,2.65
ABS41_50_6.dat,1.8250983e6,0.38
ABS42_100_6.dat,3.5011224e6,2.97
ABS42_50_6.dat,1.8250983e6,0.34
ABS43_100_6.dat,1.3162743e6,2.01
ABS43_50_6.dat,685837.62,0.38
ABS44_100_6.dat,1.31627448e6,2.2
ABS44_50_6.dat,685837.62,0.61
ABS45_100_6.dat,1.31627486e6,2.41
ABS45_50_6.dat,685837.62,0.53
ABS46_100_6.dat,3.44730223e6,1.6
ABS46_50_6.dat,1.78606024e6,0.26
ABS47_100_6.dat,3.44730223e6,1.43
ABS47_50_6.dat,1.78606024e6,0.29
ABS48_100_6.dat,3.44730223e6,1.48
ABS48_50_6.dat,1.78606024e6,0.28
ABS49_100_6.dat,208812.66,2.48
ABS49_50_6.dat,118962.59,0.43
ABS4_100_6.dat,399490.06,3.48
ABS4_50_6.dat,216511.26,0.52
ABS50_100_6.dat,208812.66,2.61
ABS50_50_6.dat,118962.59,0.45
ABS51_100_6.dat,208812.66,2.88
ABS51_50_6.dat,118962.59,0.48
ABS52_100_6.dat,424910.53,2.46
ABS52_50_6.dat,231845.63,0.42
ABS53_100_6.dat,424910.53,2.74
ABS53_50_6.dat,231845.63,0.45
ABS54_100_6.dat,424910.53,2.65
ABS54_50_6.dat,231845.63,0.46
ABS55_100_6.dat,174550.03,2.09
ABS55_50_6.dat,96048.71,0.4
ABS56_100_6.dat,174550.03,2.42
ABS56_50_6.dat,96048.71,0.41
ABS57_100_6.dat,174550.03,2.58
ABS57_50_6.dat,96048.71,0.45
ABS58_100_6.dat,389322.86,2.11
ABS58_50_6.dat,207602.42,0.41
ABS59_100_6.dat,389323.05,2.75
ABS59_50_6.dat,207602.42,0.4
ABS5_100_6.dat,399490.06,3.26
ABS5_50_6.dat,216511.26,0.51
ABS60_100_6.dat,389323.45,2.48
ABS60_50_6.dat,207602.42,0.41
ABS61_100_6.dat,237509.81,2.87
ABS61_50_6.dat,136530.87,0.45
ABS62_100_6.dat,237509.82,2.49
ABS62_50_6.dat,136530.87,0.66
ABS63_100_6.dat,237509.83,2.69
ABS63_50_6.dat,136530.87,0.47
ABS64_100_6.dat,452968.51,2.33
ABS64_50_6.dat,248826.03,0.35
ABS65_100_6.dat,452968.59,2.54
ABS65_50_6.dat,248826.03,0.42
ABS66_100_6.dat,452968.75,2.4
ABS66_50_6.dat,248826.03,0.41
ABS67_100_6.dat,199498.48,2.11
ABS67_50_6.dat,111332.74,0.44
ABS68_100_6.dat,199498.56,2.49
ABS68_50_6.dat,111332.74,0.42
ABS69_100_6.dat,199498.73,2.65
ABS69_50_6.dat,111332.74,0.44
ABS6_100_6.dat,399490.06,3.28
ABS6_50_6.dat,216511.26,0.53
ABS70_100_6.dat,413679.5,2.3
ABS70_50_6.dat,222324.55,0.45
ABS71_100_6.dat,413679.6,2.6
ABS71_50_6.dat,222324.57,0.44
ABS72_100_6.dat,413679.82,2.53
ABS72_50_6.dat,222324.57,0.45
ABS73_100_6.dat,132042.63,1.29
ABS73_50_6.dat,68688.79,0.27
ABS74_100_6.dat,132042.63,1.35
ABS74_50_6.dat,68688.79,0.29
ABS75_100_6.dat,132042.63,1.49
ABS75_50_6.dat,68688.79,0.31
ABS76_100_6.dat,344642.58,1.22
ABS76_50_6.dat,178584.42,0.29
ABS77_100_6.dat,344642.58,1.27
ABS77_50_6.dat,178584.42,0.29
ABS78_100_6.dat,344642.58,1.35
ABS78_50_6.dat,178584.42,0.29
ABS79_100_6.dat,136503.67,1.25
ABS79_50_6.dat,71437.11,0.32
ABS7_100_6.dat,152375.4,2.95
ABS7_50_6.dat,82604.87,0.39
ABS80_100_6.dat,136503.67,1.39
ABS80_50_6.dat,71437.11,0.3
ABS81_100_6.dat,136503.67,1.54
ABS81_50_6.dat,71437.11,0.29
ABS82_100_6.dat,349104.47,1.4
ABS82_50_6.dat,181333.61,0.26
ABS83_100_6.dat,349104.47,1.37
ABS83_50_6.dat,181333.61,0.26
ABS84_100_6.dat,349104.47,1.73
ABS84_50_6.dat,181333.61,0.27
ABS85_100_6.dat,1.28007076e6,1.3
ABS85_50_6.dat,662122.16,0.25
ABS86_100_6.dat,1.28007076e6,1.12
ABS86_50_6.dat,662122.16,0.48
ABS87_100_6.dat,1.28007076e6,1.28
ABS87_50_6.dat,662122.16,0.25
ABS88_100_6.dat,3.40603951e6,1.33
ABS88_50_6.dat,1.76107157e6,0.24
ABS89_100_6.dat,3.40603951e6,1.04
ABS89_50_6.dat,1.76107157e6,0.47
ABS8_100_6.dat,152375.41,2.46
ABS8_50_6.dat,82604.87,0.63
ABS90_100_6.dat,3.40603951e6,1.16
ABS90_50_6.dat,1.76107157e6,0.25
ABS91_100_6.dat,1.28453841e6,1.1
ABS91_50_6.dat,664872.31,0.46
ABS92_100_6.dat,1.28453841e6,1.29
ABS92_50_6.dat,664872.31,0.25
ABS93_100_6.dat,1.28453841e6,1.2
ABS93_50_6.dat,664872.31,0.47
ABS94_100_6.dat,3.41050716e6,1.22
ABS94_50_6.dat,1.76382171e6,0.26
ABS95_100_6.dat,3.41050716e6,1.26
ABS95_50_6.dat,1.76382171e6,0.25
ABS96_100_6.dat,3.41050716e6,1.13
ABS96_50_6.dat,1.76382171e6,0.46
ABS9_100_6.dat,152375.44,2.41
ABS9_50_6.dat,82604.87,0.64
